forecast,realized,date,asset_id,model
0.0,0.024023000000000003,2023-01-03,10104,zero
0.0,-0.001201,2023-01-03,10107,zero
0.0,-0.0002,2023-01-03,10145,zero
0.0,-0.010576,2023-01-03,11308,zero
0.0,-0.034561,2023-01-03,11850,zero
0.0,0.014001999999999999,2023-01-03,12060,zero
0.0,0.004485,2023-01-03,12490,zero
0.0,0.036363,2023-01-03,13407,zero
0.0,-0.007333999999999999,2023-01-03,13447,zero
0.0,0.0045650000000000005,2023-01-03,13721,zero
0.0,-0.0071189999999999995,2023-01-03,13856,zero
0.0,-0.004357,2023-01-03,13901,zero
0.0,-0.041555999999999996,2023-01-03,13928,zero
0.0,-0.00397,2023-01-03,14008,zero
0.0,-0.030841999999999998,2023-01-03,14541,zero
0.0,0.010732,2023-01-03,14542,zero
0.0,-0.037605,2023-01-03,14593,zero
0.0,-0.006875,2023-01-03,14702,zero
0.0,0.046978,2023-01-03,15488,zero
0.0,-0.012366,2023-01-03,15579,zero
0.0,-0.003205,2023-01-03,17005,zero
0.0,0.000487,2023-01-03,17478,zero
0.0,0.001537,2023-01-03,17778,zero
0.0,-0.0012900000000000001,2023-01-03,17830,zero
0.0,-0.000134,2023-01-03,18163,zero
0.0,-0.0037070000000000002,2023-01-03,18312,zero
0.0,0.006662,2023-01-03,18411,zero
0.0,-0.003039,2023-01-03,18542,zero
0.0,-0.010625,2023-01-03,19350,zero
0.0,0.004109000000000001,2023-01-03,19393,zero
0.0,0.025523,2023-01-03,19561,zero
0.0,-0.002113,2023-01-03,20482,zero
0.0,-0.018618,2023-01-03,21178,zero
0.0,0.00018999999999999998,2023-01-03,21936,zero
0.0,0.008518,2023-01-03,22111,zero
0.0,0.0015129999999999998,2023-01-03,22752,zero
0.0,0.002551,2023-01-03,24205,zero
0.0,-0.009877,2023-01-03,24766,zero
0.0,0.023856000000000002,2023-01-03,26403,zero
0.0,0.006694,2023-01-03,27959,zero
0.0,0.011909999999999999,2023-01-03,38703,zero
0.0,0.007193000000000001,2023-01-03,39642,zero
0.0,-0.007612,2023-01-03,40539,zero
0.0,0.002836,2023-01-03,43449,zero
0.0,-0.0052239999999999995,2023-01-03,44644,zero
0.0,0.002822,2023-01-03,45751,zero
0.0,0.007406,2023-01-03,47896,zero
0.0,0.002263,2023-01-03,48725,zero
0.0,-0.012068,2023-01-03,49680,zero
0.0,-0.002523,2023-01-03,50876,zero
0.0,0.012565,2023-01-03,55976,zero
0.0,0.014671,2023-01-03,57665,zero
0.0,-0.004464,2023-01-03,59176,zero
0.0,0.011151,2023-01-03,59328,zero
0.0,0.011575,2023-01-03,59408,zero
0.0,-0.009832,2023-01-03,60871,zero
0.0,-0.011779000000000001,2023-01-03,61241,zero
0.0,-0.001204,2023-01-03,61399,zero
0.0,0.004322,2023-01-03,62092,zero
0.0,-0.029958,2023-01-03,64186,zero
0.0,0.0031149999999999997,2023-01-03,64390,zero
0.0,0.018074,2023-01-03,65875,zero
0.0,0.017725,2023-01-03,66093,zero
0.0,-4.200000000000002e-05,2023-01-03,66181,zero
0.0,0.008033,2023-01-03,69032,zero
0.0,0.01196,2023-01-03,70519,zero
0.0,0.006099,2023-01-03,73139,zero
0.0,-0.016054,2023-01-03,75186,zero
0.0,0.0009590000000000001,2023-01-03,75510,zero
0.0,-0.039345,2023-01-03,75825,zero
0.0,0.006097,2023-01-03,76076,zero
0.0,-0.001614,2023-01-03,76614,zero
0.0,-0.009757,2023-01-03,76744,zero
0.0,-0.025123,2023-01-03,77178,zero
0.0,-0.005558,2023-01-03,77274,zero
0.0,0.016232,2023-01-03,77702,zero
0.0,0.004836,2023-01-03,78975,zero
0.0,0.00307,2023-01-03,83443,zero
0.0,0.021467,2023-01-03,84788,zero
0.0,-0.020659999999999998,2023-01-03,86580,zero
0.0,0.008201,2023-01-03,86783,zero
0.0,0.008071,2023-01-03,86868,zero
0.0,-0.007254,2023-01-03,87055,zero
0.0,0.004612000000000001,2023-01-03,87267,zero
0.0,0.008083,2023-01-03,87447,zero
0.0,0.000855,2023-01-03,88352,zero
0.0,-0.006202,2023-01-03,89006,zero
0.0,-0.021195,2023-01-03,89179,zero
0.0,3.699999999999998e-05,2023-01-03,89393,zero
0.0,0.024678000000000002,2023-01-03,89525,zero
0.0,0.016317,2023-01-03,90215,zero
0.0,0.009887,2023-01-03,90319,zero
0.0,-0.002875,2023-01-03,91233,zero
0.0,-0.007057,2023-01-03,91937,zero
0.0,0.000689,2023-01-03,92602,zero
0.0,-0.001981,2023-01-03,92611,zero
0.0,-0.021966,2023-01-03,92655,zero
0.0,-0.010305,2023-01-03,93002,zero
0.0,-0.12262200000000001,2023-01-03,93436,zero
0.0,0.008877999999999999,2023-01-04,10104,zero
0.0,-0.043942999999999996,2023-01-04,10107,zero
0.0,-0.020079,2023-01-04,10145,zero
0.0,-0.000677,2023-01-04,11308,zero
0.0,0.002711,2023-01-04,11850,zero
0.0,0.063148,2023-01-04,12060,zero
0.0,0.0072180000000000005,2023-01-04,12490,zero
0.0,0.020884,2023-01-04,13407,zero
0.0,0.02146,2023-01-04,13447,zero
0.0,0.007866999999999999,2023-01-04,13721,zero
0.0,-0.002653,2023-01-04,13856,zero
0.0,-0.002617,2023-01-04,13901,zero
0.0,0.0017449999999999998,2023-01-04,13928,zero
0.0,0.010272,2023-01-04,14008,zero
0.0,-0.010833,2023-01-04,14541,zero
0.0,-0.011237,2023-01-04,14542,zero
0.0,0.010114,2023-01-04,14593,zero
0.0,0.026472000000000002,2023-01-04,14702,zero
0.0,0.0415,2023-01-04,15488,zero
0.0,0.036317,2023-01-04,15579,zero
0.0,-0.01021,2023-01-04,17005,zero
0.0,0.019044000000000002,2023-01-04,17478,zero
0.0,0.014144,2023-01-04,17778,zero
0.0,9.799999999999997e-05,2023-01-04,17830,zero
0.0,0.004154000000000001,2023-01-04,18163,zero
0.0,-0.009307000000000001,2023-01-04,18312,zero
0.0,0.008284,2023-01-04,18411,zero
0.0,0.010182,2023-01-04,18542,zero
0.0,-0.002109,2023-01-04,19350,zero
