model,r2_oos,mae,rmse,dir_acc,f1,ann_return,ann_vol,sharpe,max_dd,max_dd_1d,n_obs,n_dates
zero,0.0,0.011377768646464647,0.016517228549466557,0.4812121212121212,0.3248772504091653,,,,,,24750,250
mean,0.0015852748273083028,0.011369043622222373,0.016504131183358358,0.5177373737373737,0.3493819242804386,0.4233617808,0.21565464102041354,1.9631470892385072,-0.12415185375607007,-0.04084647777777777,24750,250
ridge,-0.01952257831144233,0.011518510651794033,0.01667767867851084,0.4902222222222222,0.4819957494159934,-0.14795056640000007,0.18585463705148167,-0.7960552867939358,-0.2845364650350367,-0.03705896666666666,24750,250
lightgbm,-0.0933087855600383,0.012096505005994978,0.017270646585931086,0.48214141414141415,0.48173509445546725,-0.19246768799999997,0.1853410975379226,-1.0384512153901497,-0.28689407685867463,-0.04587598888888889,24750,250
catboost,-0.12203191078138631,0.012224267512907219,0.017496040785566012,0.49062626262626263,0.49020555159783585,-0.0640839248,0.18039338323721774,-0.3552454289064998,-0.16524671147574022,-0.053386622222222214,24750,250
chronos-bolt-252,-0.01228793889438462,0.011454821700629765,0.016618400048669938,0.4987474747474748,0.4979858876333993,-0.04533337759999997,0.1849229851997412,-0.24514733823398938,-0.1835133903705679,-0.03900105555555555,24750,250
chronos-2-252,-0.02500090699273083,0.011505618047220221,0.016722426778847013,0.49777777777777776,0.4841275638403553,-0.10834330080000008,0.18231584637659695,-0.5942615683345648,-0.16559547877326286,-0.045838177777777774,24750,250
timesfm-2.5-252,-0.02416680978388852,0.01153511936552354,0.016715621434508724,0.5038383838383839,0.4993632707277986,-0.10723236160000003,0.17618453274232906,-0.6086366375692468,-0.18735682486550498,-0.04452152222222222,24750,250
timesfm-2.5-xreg-252,-1.2144828166691521,0.016850640434526627,0.024579516490976172,0.5095353535353535,0.5088253430034454,0.14407191680000006,0.18981121176472585,0.7590274328925289,-0.11983801161735441,-0.028884322222222224,24750,250
