model,r2_oos,mae,rmse,dir_acc,f1,ann_return,ann_vol,sharpe,max_dd,max_dd_1d,n_obs,n_dates
zero,0.0,0.0025969396712820633,0.013096113581423294,0.5207161125319693,0.3424150689539186,,,,,,3910,391
mean,-4.451595670529329e-06,0.0025977907598929957,0.013096142730692114,0.478772378516624,0.43467751295507345,6.286300065355292,0.5230139517320163,12.019373564581867,-0.034934256400221075,-0.005720834070344516,3910,391
ridge,0.005803840054726783,0.00264458760688563,0.013058054404438,0.49769820971867007,0.49216870449731764,250.79432550684882,10.303570750380516,24.340525394809067,-0.2791508122537746,-0.10869427526222655,3910,391
lightgbm,-0.08477217550932803,0.0032152433616921506,0.013639916180130439,0.5158567774936061,0.5119686088214402,-279.85854072070333,12.813124079168757,-21.841553940439088,-0.8155453400905089,-0.10851158787159357,3910,391
chronos-bolt-60,-0.07486724106767961,0.0027325840027240295,0.013577501096061163,0.5053708439897698,0.5040991819997985,-410.3545416630851,11.750585174737001,-34.92205158814736,-0.8553022600869816,-0.10869427526222655,3910,391
chronos-bolt-252,-0.011520694914832541,0.0026430499141332224,0.013171335713614089,0.5230179028132992,0.5155643025003529,-328.7557221539408,11.418243859777,-28.79214406271767,-0.8267886864467915,-0.10869427526222655,3910,391
chronos-2-60,0.018188807444654675,0.0026534690763435997,0.012976465677425256,0.5120204603580563,0.5089336492890995,632.2329431921826,9.385040381257163,67.36603333692771,-0.1855793438343778,-0.10085625869135431,3910,391
chronos-2-252,0.016174371342050353,0.002586165008627199,0.012989771120736217,0.5232736572890025,0.5177087951719528,763.2204215307434,9.891799497273615,77.15688351154942,-0.24300169042630437,-0.10080161380259547,3910,391
timesfm-2.5-60,-0.01181603843975565,0.0027442086690508474,0.01317325845470249,0.5138107416879796,0.5088997390787673,134.54629545397736,11.428009898470737,11.773379324074785,-0.6919845457054572,-0.10856708063212875,3910,391
timesfm-2.5-252,0.05333761520775682,0.0026247808018456456,0.012742070202456691,0.5242966751918159,0.51732239566741,1105.1198834385523,11.124224722415443,99.3435417761494,-0.21392984459334397,-0.10143439708206917,3910,391
timesfm-2.5-xreg-60,0.09957863324840543,0.003092327770047002,0.012426972265723977,0.5191815856777494,0.5159800081332847,575.0147890396217,11.818051417538259,48.65563439555583,-0.31009221342103,-0.10856708063212875,3910,391
timesfm-2.5-xreg-252,0.21733617255906224,0.00280491539674863,0.011585907696708357,0.5232736572890025,0.5196843834553326,822.5503577592707,11.749618022224247,70.00656159233668,-0.1994756086374886,-0.10143439708206917,3910,391
