forecast,realized,date,asset_id,model
0.0,0.0173,2023-01-06,ME5 BM4,zero
0.0,0.0199,2023-01-06,BIG HiBM,zero
0.0,0.0297,2023-01-09,SMALL LoBM,zero
0.0,0.0019,2023-01-09,ME1 BM2,zero
0.0,0.006500000000000001,2023-01-09,ME1 BM3,zero
0.0,-0.0034999999999999996,2023-01-09,ME1 BM4,zero
0.0,0.0019,2023-01-09,SMALL HiBM,zero
0.0,0.0106,2023-01-09,ME2 BM1,zero
0.0,0.0151,2023-01-09,ME2 BM2,zero
0.0,0.0006,2023-01-09,ME2 BM3,zero
0.0,-0.0018,2023-01-09,ME2 BM4,zero
0.0,-0.009300000000000001,2023-01-09,ME2 BM5,zero
0.0,0.006,2023-01-09,ME3 BM1,zero
0.0,0.0040999999999999995,2023-01-09,ME3 BM2,zero
0.0,0.0034999999999999996,2023-01-09,ME3 BM3,zero
0.0,0.0028000000000000004,2023-01-09,ME3 BM4,zero
0.0,-0.0038,2023-01-09,ME3 BM5,zero
0.0,0.012199999999999999,2023-01-09,ME4 BM1,zero
0.0,0.0064,2023-01-09,ME4 BM2,zero
0.0,-0.0023,2023-01-09,ME4 BM3,zero
0.0,-0.0003,2023-01-09,ME4 BM4,zero
0.0,-0.0023,2023-01-09,ME4 BM5,zero
0.0,0.004699999999999999,2023-01-09,BIG LoBM,zero
0.0,-0.006500000000000001,2023-01-09,ME5 BM2,zero
0.0,0.0002,2023-01-09,ME5 BM3,zero
0.0,-0.006,2023-01-09,ME5 BM4,zero
0.0,-0.0067,2023-01-09,BIG HiBM,zero
0.0,0.031400000000000004,2023-01-10,SMALL LoBM,zero
0.0,0.026699999999999998,2023-01-10,ME1 BM2,zero
0.0,0.022000000000000002,2023-01-10,ME1 BM3,zero
0.0,0.0217,2023-01-10,ME1 BM4,zero
0.0,0.011200000000000002,2023-01-10,SMALL HiBM,zero
0.0,0.023,2023-01-10,ME2 BM1,zero
0.0,0.0199,2023-01-10,ME2 BM2,zero
0.0,0.0178,2023-01-10,ME2 BM3,zero
0.0,0.0115,2023-01-10,ME2 BM4,zero
0.0,0.0104,2023-01-10,ME2 BM5,zero
0.0,0.0226,2023-01-10,ME3 BM1,zero
0.0,0.0163,2023-01-10,ME3 BM2,zero
0.0,0.0113,2023-01-10,ME3 BM3,zero
0.0,0.01,2023-01-10,ME3 BM4,zero
0.0,0.009399999999999999,2023-01-10,ME3 BM5,zero
0.0,0.0139,2023-01-10,ME4 BM1,zero
0.0,0.01,2023-01-10,ME4 BM2,zero
0.0,0.0087,2023-01-10,ME4 BM3,zero
