model,r2_oos,mae,rmse,dir_acc,f1,ann_return,ann_vol,sharpe,max_dd,max_dd_1d,n_obs,n_dates
zero,0.0,0.01660087374501992,0.02323860444053612,0.5099601593625498,0.33773087071240104,,,,,,25100,251
mean,-0.0047383479517264515,0.016650751473444827,0.02329359567249815,0.489601593625498,0.3367674453083657,-0.4861454486055776,0.3910699169433141,-1.2431164544831117,-0.4542199176663403,-0.06607339999999999,25100,251
ridge,-0.01983126877083108,0.016913366708882178,0.023467898727478446,0.4993227091633466,0.4839437487746021,0.2126843856573705,0.2931456155269985,0.72552470305592,-0.22377443182744505,-0.0583201,25100,251
lightgbm,-0.04004049649254071,0.016809540308216676,0.023699280901097665,0.5156573705179283,0.5058673550384672,0.17537493227091636,0.26280196579082316,0.6673273228500345,-0.24252268181831005,-0.052048500000000004,25100,251
catboost,-0.050083091956916626,0.016907561364885016,0.023813425741328196,0.5101593625498008,0.49993524774417575,0.056799996812749026,0.29566935595677435,0.19210647186938426,-0.23534001846800923,-0.0651248,25100,251
chronos-bolt-252,-0.010286090567347639,0.01665608131151991,0.023357815864910595,0.5026693227091633,0.5019422640328375,0.3044939091633465,0.31236719301398097,0.9747947799041686,-0.18835871452425879,-0.06833650000000001,25100,251
chronos-2-252,-0.0314709181241728,0.01685922073027377,0.023601441955388044,0.4843824701195219,0.47959276420678004,-0.18913704382470117,0.23938078142432773,-0.7901095597538208,-0.28615910801998434,-0.06212390000000001,25100,251
timesfm-2.5-252,-0.02191196898512504,0.01674478023935055,0.02349182659806216,0.5023904382470119,0.5021496531926897,-0.03750974820717125,0.2814899184239874,-0.13325432192094744,-0.24058106555881775,-0.08736179999999999,25100,251
timesfm-2.5-xreg-252,-1.2937142921091254,0.024277618199697343,0.035194897436394895,0.5132270916334661,0.5131071200407717,0.07037607011952189,0.31247813258888124,0.22521918425605073,-0.27765077165691754,-0.0651514,25100,251
