forecast,realized,date,asset_id,model
0.0,0.007912,2022-01-03,10104,zero
0.0,-0.004668,2022-01-03,10107,zero
0.0,-0.008201,2022-01-03,10145,zero
0.0,0.00152,2022-01-03,11308,zero
0.0,0.038405,2022-01-03,11850,zero
0.0,0.018736,2022-01-03,12060,zero
0.0,-0.006733,2022-01-03,12308,zero
0.0,0.043323,2022-01-03,12369,zero
0.0,0.017806,2022-01-03,12490,zero
0.0,0.006511,2022-01-03,13407,zero
0.0,-0.029225,2022-01-03,13447,zero
0.0,0.000148,2022-01-03,13721,zero
0.0,-0.040979,2022-01-03,13788,zero
0.0,-0.004202,2022-01-03,13856,zero
0.0,0.012239,2022-01-03,13901,zero
0.0,0.022028,2022-01-03,13928,zero
0.0,0.007645,2022-01-03,14008,zero
0.0,0.016276,2022-01-03,14541,zero
0.0,0.00273,2022-01-03,14542,zero
0.0,0.025004,2022-01-03,14593,zero
0.0,0.016332,2022-01-03,14702,zero
0.0,0.033726,2022-01-03,15488,zero
0.0,0.011302,2022-01-03,15579,zero
0.0,0.009694,2022-01-03,17005,zero
0.0,-0.022948,2022-01-03,17478,zero
0.0,0.008073,2022-01-03,17778,zero
0.0,0.010574,2022-01-03,17830,zero
0.0,-0.004157,2022-01-03,18163,zero
0.0,-0.074533,2022-01-03,18312,zero
0.0,0.001258,2022-01-03,18542,zero
0.0,0.021056,2022-01-03,19350,zero
0.0,-0.007538,2022-01-03,19393,zero
0.0,0.032486,2022-01-03,19561,zero
0.0,-0.012079,2022-01-03,20482,zero
0.0,-0.002954,2022-01-03,21178,zero
0.0,-0.040644,2022-01-03,21936,zero
0.0,0.002747,2022-01-03,22111,zero
0.0,0.000619,2022-01-03,22592,zero
0.0,0.003001,2022-01-03,22752,zero
0.0,-0.018209,2022-01-03,24205,zero
0.0,0.012073,2022-01-03,26403,zero
0.0,-0.037029,2022-01-03,36468,zero
0.0,0.057316,2022-01-03,38703,zero
0.0,-0.004873,2022-01-03,40539,zero
0.0,0.001902,2022-01-03,43449,zero
0.0,-0.010423,2022-01-03,44644,zero
0.0,-0.037913,2022-01-03,45751,zero
0.0,0.021156,2022-01-03,47896,zero
0.0,0.008774,2022-01-03,48486,zero
0.0,-0.016513,2022-01-03,48725,zero
0.0,0.002204,2022-01-03,49154,zero
0.0,-0.040272,2022-01-03,49680,zero
0.0,-0.016255,2022-01-03,50876,zero
0.0,0.027912,2022-01-03,53613,zero
0.0,-0.000277,2022-01-03,55976,zero
0.0,-0.012,2022-01-03,57665,zero
0.0,0.028179,2022-01-03,59176,zero
0.0,0.033204,2022-01-03,59328,zero
0.0,0.037986,2022-01-03,59408,zero
0.0,0.0384,2022-01-03,60442,zero
0.0,0.007851,2022-01-03,60871,zero
0.0,0.044059,2022-01-03,61241,zero
0.0,-0.01149,2022-01-03,61399,zero
0.0,-0.033451,2022-01-03,62092,zero
0.0,0.009238,2022-01-03,65875,zero
0.0,0.03374,2022-01-03,66093,zero
0.0,-0.015349,2022-01-03,66181,zero
0.0,0.020681,2022-01-03,69032,zero
0.0,0.044875,2022-01-03,70519,zero
0.0,0.003739,2022-01-03,73139,zero
0.0,0.019739,2022-01-03,75186,zero
0.0,-0.004744,2022-01-03,75510,zero
0.0,-0.003314,2022-01-03,76076,zero
0.0,0.018264,2022-01-03,77178,zero
0.0,-0.000413,2022-01-03,77274,zero
0.0,-0.002479,2022-01-03,77702,zero
0.0,-0.018268,2022-01-03,78975,zero
0.0,0.000243,2022-01-03,82642,zero
0.0,0.005987,2022-01-03,83443,zero
0.0,0.022118,2022-01-03,84788,zero
0.0,0.024141,2022-01-03,86580,zero
0.0,0.025921,2022-01-03,86783,zero
0.0,0.033407,2022-01-03,86868,zero
0.0,-0.001744,2022-01-03,87055,zero
0.0,-0.004183,2022-01-03,87267,zero
0.0,-0.003919,2022-01-03,87447,zero
0.0,0.001948,2022-01-03,88352,zero
0.0,-0.005127,2022-01-03,89006,zero
0.0,0.002848,2022-01-03,89179,zero
0.0,-0.008416,2022-01-03,89393,zero
0.0,0.008146,2022-01-03,89525,zero
0.0,0.005234,2022-01-03,90215,zero
0.0,0.000963,2022-01-03,90319,zero
0.0,0.032367,2022-01-03,91233,zero
0.0,-0.013364,2022-01-03,91937,zero
0.0,0.007684,2022-01-03,92602,zero
0.0,0.02178,2022-01-03,92611,zero
0.0,0.000279,2022-01-03,92655,zero
0.0,-0.003141,2022-01-03,93002,zero
0.0,0.135317,2022-01-03,93436,zero
0.0,0.010694,2022-01-04,10104,zero
0.0,-0.017147,2022-01-04,10107,zero
0.0,0.010638,2022-01-04,10145,zero
0.0,0.016695,2022-01-04,11308,zero
0.0,0.037614,2022-01-04,11850,zero
0.0,0.032523,2022-01-04,12060,zero
0.0,-0.010516,2022-01-04,12308,zero
0.0,0.07471,2022-01-04,12369,zero
0.0,0.014555,2022-01-04,12490,zero
0.0,-0.005937,2022-01-04,13407,zero
0.0,-0.041578,2022-01-04,13447,zero
0.0,-0.00192,2022-01-04,13721,zero
0.0,-0.038072,2022-01-04,13788,zero
0.0,0.001445,2022-01-04,13856,zero
0.0,0.022097,2022-01-04,13901,zero
0.0,0.043378,2022-01-04,13928,zero
0.0,0.005073,2022-01-04,14008,zero
0.0,0.018196,2022-01-04,14541,zero
0.0,-0.004536,2022-01-04,14542,zero
0.0,-0.012692,2022-01-04,14593,zero
0.0,-0.009817,2022-01-04,14702,zero
0.0,-0.019493,2022-01-04,15488,zero
0.0,0.001049,2022-01-04,15579,zero
0.0,0.001248,2022-01-04,17005,zero
0.0,-0.002776,2022-01-04,17478,zero
0.0,0.025149,2022-01-04,17778,zero
0.0,0.03507,2022-01-04,17830,zero
0.0,0.003499,2022-01-04,18163,zero
0.0,-0.008466,2022-01-04,18312,zero
0.0,0.053527,2022-01-04,18542,zero
0.0,0.060495,2022-01-04,19350,zero
0.0,0.00404,2022-01-04,19393,zero
0.0,0.027759,2022-01-04,19561,zero
0.0,-0.023518,2022-01-04,20482,zero
0.0,0.021532,2022-01-04,21178,zero
0.0,-0.037423,2022-01-04,21936,zero
0.0,-0.002682,2022-01-04,22111,zero
0.0,0.014009,2022-01-04,22592,zero
0.0,0.001821,2022-01-04,22752,zero
0.0,-0.010692,2022-01-04,24205,zero
