model,r2_oos,mae,rmse,dir_acc,f1,ann_return,ann_vol,sharpe,max_dd,max_dd_1d,n_obs,n_dates
zero,0.0,0.0150592,0.01904108545750478,0.7,0.4117647058823529,,,,,,10,5
mean,-0.10824961275510736,0.01624635,0.020045204732214758,0.3,0.23076923076923078,,,,,,10,5
ridge,0.04863543127569603,0.014641099767407174,0.018572278553592683,0.5,0.45054945054945056,,,,,,10,5
lightgbm,-1.4136237592163745,0.025750499127785258,0.029581928860246277,0.3,0.23076923076923078,,,,,,10,5
catboost,-0.22732754544977563,0.017436014476776555,0.02109463148707622,0.5,0.4949494949494949,,,,,,10,5
chronos-bolt-252,0.05022675748435512,0.015742196978378295,0.018556739335638905,0.6,0.375,,,,,,10,5
timesfm-2.5-252,0.0759450371179875,0.014932567740167674,0.018303772283697162,0.5,0.3333333333333333,,,,,,10,5
timesfm-2.5-xreg-252,-0.250650569019923,0.018548503147287666,0.021294119879993714,0.6,0.375,,,,,,10,5
